Hylak_id,Lake_area,glacier_lake_id,rgi_name,area0_km2,lat,lon
1268387,0.48,33512,Scandinavia,0.348749951680415,62.3136,6.50845
1265207,0.3,108209,Scandinavia,0.351132061189431,62.5649,8.58875
153237,1.16,33852,Scandinavia,1.122716153351304,61.9638,7.409
1192011,0.16,108972,Scandinavia,0.180066360237276,68.5581,15.9857
679841,0.26,110061,Arctic Canada South,0.314437751260952,59.1622,-63.6582
1276614,0.21,34477,Scandinavia,0.200011135093884,61.5171,8.2927
11611,13.88,35019,Scandinavia,12.7730979039,67.5342,16.1817
1380244,0.44,95146,South Asia East,0.550588661592963,29.2256,96.1616
1049248,0.31,1739,Western Canada and USA,0.379916699982219,43.0866,-109.637
1176632,0.14,109781,Scandinavia,0.078318205842496,69.3695,19.961
140931,3.79,109100,Scandinavia,4.222641715450854,67.3556,16.0938
155477,1.0,33913,Scandinavia,0.946876576362654,60.7474,7.46573
84577,7.14,9840,Western Canada and USA,6.802282803967936,54.1072,-129.185
1382060,0.31,93413,South Asia East,0.336388221634679,27.9199,90.5365
920413,0.23,4603,Western Canada and USA,0.220463436004098,51.673,-116.131
1186700,0.17,109618,Scandinavia,0.223936636849171,68.8125,18.9487
506850,0.26,110327,Arctic Canada South,0.319444109092128,63.7031,-64.8677
1169366,0.26,109655,Scandinavia,0.364939473943792,69.8679,19.3327
1091350,0.63,9251,Low Latitudes,0.694703628027615,-11.953,-75.986
472011,0.31,23769,Arctic Canada South,0.294956564097976,64.5624,-65.8515
1382049,0.18,93436,South Asia East,0.256055118085126,27.9252,90.5549
637887,0.33,100801,Alaska,0.384990401281212,60.2259,-152.972
1049630,0.72,1939,Western Canada and USA,0.730048444398887,42.9373,-109.415
119296,2.05,9027,Low Latitudes,1.992862502090343,-10.5008,-76.7935
1275353,0.51,33758,Scandinavia,0.512478723820617,61.6718,7.22747
703261,0.34,29141,Alaska,0.811263270844611,58.4505,-137.167
58347,4.09,32852,Alaska,6.222321415961118,60.7724,-142.95
887824,0.26,2493,Western Canada and USA,0.285019863279983,52.7335,-120.673
64047,2.35,28830,Alaska,2.45938753687847,59.3364,-138.765
1381988,0.4,91810,South Asia East,0.596136249951139,27.9732,89.9303
702554,0.8,29175,Alaska,3.215640624515373,58.468,-136.81
1092783,0.39,11134,Low Latitudes,0.441999895466005,-13.4686,-71.2911
1288046,0.62,106772,Scandinavia,1.447736971877805,60.0045,7.05733
154393,1.29,34444,Scandinavia,1.249337861961052,61.39,8.1919
1282759,0.43,107034,Scandinavia,0.571779093526368,60.6668,7.08443
518135,0.28,32688,Alaska,0.828068196409974,63.398,-146.84
1262283,0.31,108257,Scandinavia,0.367653424807466,62.7858,9.34876
661542,0.6,110168,Arctic Canada South,0.672067866362917,59.6432,-64.1963
159890,6.32,84348,North Asia,6.68505416073755,57.3836,160.157
1271438,0.5,34370,Scandinavia,0.4824107844914,62.0604,8.06109
1381784,0.45,116233,South Asia East,0.570393804418542,28.1156,92.9511
144698,1.55,108404,Scandinavia,1.698160412933233,65.4243,13.0541
45486,7.96,24065,Arctic Canada South,8.177018557412676,64.2467,-65.6182
141184,2.32,35056,Scandinavia,2.007841142334549,67.2159,16.281
826504,0.32,2412,Western Canada and USA,0.264181451927659,54.5418,-121.173
1275534,0.51,34147,Scandinavia,0.526817010090396,61.6578,7.75101
1166498,0.18,35725,Scandinavia,0.152115632545356,70.1186,21.6405
1201356,0.55,35242,Scandinavia,0.446986462537036,68.0039,17.7099
1381907,0.42,92830,South Asia East,0.54584029550043,28.0166,88.2884
1378705,0.77,90974,Central Asia,0.957151412599487,30.0787,82.3419
488370,0.18,24323,Arctic Canada South,0.182720309985757,64.1722,-65.413
123549,3.48,13632,Southern Andes,3.558867180657765,-48.6308,-72.6188
1114367,0.3,13321,Southern Andes,0.559241300394197,-45.9064,-72.8603
1093272,0.4,9506,Low Latitudes,0.343251081882722,-13.9613,-70.3145
1282117,0.19,33958,Scandinavia,0.160571328464559,60.7556,7.5207
992345,0.49,4975,Western Canada and USA,0.557394150035396,48.4637,-113.459
473356,0.16,23802,Arctic Canada South,0.17455637715641,64.5297,-65.8186
686312,0.19,109958,Arctic Canada South,0.223619420450152,58.9636,-64.1192
1381488,0.48,92105,South Asia East,0.636901404975001,28.3352,86.1919
122624,1.94,15159,Southern Andes,2.960188780207471,-36.0284,-70.3968
486624,0.2,23652,Arctic Canada South,0.218830084671965,64.2166,-65.9354
24786,4.71,19087,Arctic Canada South,7.292345314952696,69.6279,-72.587
1186219,0.38,109473,Scandinavia,0.419422939221395,68.837,17.6623
1378755,0.92,94527,Central Asia,0.915397639986918,30.0467,94.1574
663115,0.17,29280,Alaska,0.163444078036632,59.6112,-136.45
1369236,0.96,85906,Central Asia,1.28966331645692,37.6152,72.0766
1080039,0.63,10658,Low Latitudes,0.66990775104659,-1.7261,-78.4317
705500,0.23,8106,Western Canada and USA,0.194916836257328,58.3729,-124.638
661407,0.26,29216,Alaska,0.27741044632775,59.6493,-136.625
1204867,0.22,35032,Scandinavia,0.127159157270016,67.7412,16.1523
1381538,0.29,92020,South Asia East,0.322988070703759,28.2934,85.8308
157060,1.96,35772,Scandinavia,3.078742097483281,59.9053,7.19015
756047,0.37,30932,Alaska,0.342246472470562,56.7742,-130.371
119846,2.5,9503,Low Latitudes,2.626171075212191,-13.9774,-70.3345
514783,0.2,24753,Arctic Canada South,0.400203034295948,63.4836,-64.7352
667378,0.32,110190,Arctic Canada South,0.375760537199991,59.5029,-64.266
609901,0.99,27527,Alaska,1.089853357930318,60.9644,-141.426
477798,0.24,23530,Arctic Canada South,0.240844591963013,64.4295,-66.0321
46053,1.3,24458,Arctic Canada South,1.302011706185662,64.1017,-65.2265
1195542,0.74,109430,Scandinavia,0.783187994221241,68.3589,18.4835
931494,0.26,3350,Western Canada and USA,0.435458608926742,51.309,-118.721
1200212,0.18,35131,Scandinavia,0.146823758980835,68.08,16.8313
1380660,0.23,95826,South Asia East,0.247117386157151,28.9383,97.5223
926374,0.26,4615,Western Canada and USA,0.224742708785397,51.4843,-116.076
1381808,0.41,92650,South Asia East,0.817783237174497,28.0934,87.6366
1214295,0.36,108927,Scandinavia,0.401543060751636,66.873,15.9002
1274939,0.2,33386,Scandinavia,0.179574110444396,61.7096,5.60453
1381844,0.45,92478,South Asia East,0.861650227969826,28.0684,87.0472
555238,0.39,110232,Arctic Canada South,0.469277616750584,62.4271,-66.7694
1216342,0.22,108868,Scandinavia,0.274316008245116,66.6874,15.1662
1090029,0.28,105203,Low Latitudes,0.361697439039108,-10.5262,-75.8946
1288327,0.84,106806,Scandinavia,0.935016278687937,59.9659,7.0884
496048,0.19,24215,Arctic Canada South,0.190682083824213,63.982,-65.5045
676030,0.2,110015,Arctic Canada South,0.265980995136978,59.2664,-64.393
1197716,0.19,109374,Scandinavia,0.271662148599638,68.2362,18.156
494989,0.39,24372,Arctic Canada South,1.004261337925784,63.9999,-65.3279
176134,1.84,95931,South Asia East,1.838109438726822,30.0295,99.2698
1375547,0.49,94603,Central Asia,0.486666494017552,31.9096,94.6379
1271723,0.3,107586,Scandinavia,0.353752475423335,62.0344,6.90367
1273782,0.21,33409,Scandinavia,0.198841506967835,61.8302,5.87244
707874,0.32,9885,Western Canada and USA,0.388730408066823,58.3014,-128.873
712262,0.15,30509,Alaska,0.144302149271026,58.1686,-132.344
517349,0.15,8302,Western Canada and USA,0.107541445779055,63.4146,-129.897
1211371,0.61,35115,Scandinavia,0.569139223305899,67.1719,16.5195
1171124,0.17,35562,Scandinavia,0.217363236135596,69.7264,20.0965
1278209,0.49,117202,Scandinavia,0.577947077408573,61.2824,6.36313
225998,0.31,18515,Arctic Canada South,2.393818482678161,70.5088,-74.386
141110,5.46,35037,Scandinavia,5.706470707862216,67.2373,16.2055
706035,0.63,30477,Alaska,0.732089692709413,58.3682,-132.636
764592,0.31,29997,Alaska,0.264843449054678,56.4886,-134.875
1287803,0.35,106707,Scandinavia,0.87786478930552,60.0304,6.80485
897696,0.36,3761,Western Canada and USA,0.344020271966358,52.4352,-117.839
1342235,0.79,97974,North Asia,1.165442518384327,49.1803,87.4195
1268440,0.62,34101,Scandinavia,0.557075244139067,62.3094,7.68889
1287046,0.98,33463,Scandinavia,0.895806063426323,60.1205,6.36509
688393,0.49,110043,Arctic Canada South,0.587499084429489,58.9105,-63.5074
1267821,0.36,108339,Scandinavia,0.408959778717931,62.3546,8.98725
758504,0.67,30115,Alaska,0.658773325472841,56.6936,-134.66
1266227,0.18,107964,Scandinavia,0.294047565469406,62.492,7.20677
500723,0.2,24532,Arctic Canada South,0.196264413880217,63.8613,-65.1264
155500,1.1,33846,Scandinavia,1.104007906894034,60.7313,7.37868
891799,0.28,2919,Western Canada and USA,0.265556466545336,52.6183,-119.542
636696,0.41,32826,Alaska,2.057606451792844,60.2675,-143.159
477852,0.15,23777,Arctic Canada South,0.148383184396612,64.4308,-65.8478
509083,0.15,24684,Arctic Canada South,0.167405516889335,63.645,-64.8007
746315,0.19,29982,Alaska,0.207654081274786,57.1091,-134.892
1277376,0.25,107706,Scandinavia,0.270633803386662,61.4012,6.98232
215576,0.17,111057,Arctic Canada South,0.220281543475301,70.9636,-74.6329
176598,1.06,91932,South Asia East,1.272704545354802,28.6238,85.5095
687703,0.16,25000,Arctic Canada South,0.264227668273621,58.9248,-63.7335
472396,0.19,23741,Arctic Canada South,0.192200595659871,64.5521,-65.8705
248224,0.17,18620,Arctic Canada South,0.192940840473783,69.8052,-74.2199
1274512,0.17,34116,Scandinavia,0.1682357367466,61.7555,7.71742
102368,1.49,4802,Western Canada and USA,1.497163037858454,49.0079,-114.051
